"Артикул";"Ozon Product ID";"FBO OZON SKU ID";"FBS OZON SKU ID";"Barcode";"Наименование товара";"Контент-рейтинг";"Бренд";"Статус товара";"Видимость FBO";"Причины скрытия FBO (при наличии)";"Видимость FBS";"Причины скрытия FBS (при наличии)";"Дата создания";"Коммерческая категория";"Объем товара, л";"Объемный вес, кг";"Доступно на складе Ozon, шт";"Вывезти и нанести КИЗ (кроме Твери), шт";"Зарезервировано, шт";"Доступно на моих складах, шт";"Зарезервировано на моих складах, шт";"Текущая цена с учетом скидки, руб.";"Цена до скидки (перечеркнутая цена), руб.";"Цена Premium, руб.";"Рыночная цена, руб.";"Актуальная ссылка на рыночную цену";"Размер НДС, %"
"kkkz013015A1p2";"160242369";"384754791";"384754790";"2005739890005";"Прищепка-микрофибра для чистки стекол очков, черная";"22.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-11-12 15:22:50";"Тряпка";"'0.00";"'0.0";"135";"0";"2";"206";"0";"357.00";"496.00";;;;"0%"
"a012006";"160244281";"384757610";"384757609";"2013542132052";"Переходник Scart 3xRCA";"22.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-11-12 15:30:41";"Видео кабели и переходники";"'0.00";"'0.0";"75";"0";"0";"0";"0";"290.00";"390.00";;"285.00";"https://wildberries.ru/catalog/102092498/detail.aspx";"0%"
"w377388";"160248440";"384763890";"384763891";"2001272841016";"Ершик для унитаза с подставкой, белый";"12.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-11-12 15:33:11";"Ершик, щетка для унитаза";"'2.92";"'0.6";"1";"0";"0";"181";"0";"394.00";"534.00";;;;"0%"
"p59046";"160249017";"384765198";"384765197";"2002666531384";"Вспениватель молока (капучинатор)";"22.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-11-12 15:36:07";"Вспениватель молока";"'0.42";"'0.1";"185";"0";"0";"8";"0";"390.00";"555.00";;;;"0%"
"kkkp5991";"160250162";"384767433";"384767434";"2002666531346";"Набедренная сумка";"22.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-11-12 15:40:29";"Сумка/кофр для велосипеда";"'1.00";"'0.2";"0";"0";"0";"242";"0";"1176.00";"1764.00";;;;"0%"
"p5346";"160250414";"384771723";"384771724";"2006868112006";"СЗУ универсальное Лягушка";"10";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-11-12 15:43:11";"Зарядное устройство сетевое";"'0.31";"'0.1";"82";"0";"0";"27";"0";"368.00";"496.00";;;;"0%"
"333483";"160251380";"384769504";"384769505";"2005262913004";"Bluetooth 5.0 приемник / передатчик 2 в 1 Wireless audio transmitter ";"27.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-11-12 15:46:44";"Передатчик, приемник аудиосигнала";"'0.45";"'0.1";"41";"0";"0";"0";"0";"490.00";"590.00";;;;"0%"
"334770";"160252589";"384772224";"384772225";"2011581453190";"Зарядка для смарт браслета Xiaomi Mi Band 3 и 4 без снятия ремешка";"17.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-11-12 15:53:49";"Зарядное устройство, кабель для смарт-часов и фитнес-браслетов";"'0.04";"'0.0";"83";"0";"0";"0";"0";"390.00";"490.00";;;;"0%"
"KKK339536G9p1";"160258275";"384782846";"384782847";"2003348042488";"Гнущийся штатив для планшета / телефона";"37.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-11-12 16:03:21";"Штатив для фото/видео устройств";"'4.90";"'1.0";"0";"0";"0";"154";"0";"2419.00";"3628.00";;;;"0%"
"WB99923";"166402784";"395501909";"395501908";"2011598596088";"Маска Кальмар офицера ""Квадрат"" ";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-11-21 09:51:40";"Колпак, грим, маска новогодние";"'0.00";"'0.0";"43";"0";"0";"20";"0";"390.00";"540.00";;;;"0%"
"WB999235";"166403719";"395502394";"395502395";"2011598596095";"Маска Кальмар солдата ""Треугольник""";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-11-21 09:54:43";"Колпак, грим, маска новогодние";"'0.00";"'0.0";"47";"0";"0";"21";"0";"390.00";"532.00";;;;"0%"
"45580280";"166403819";"395502719";"395502718";"2011598596071";"Маска Кальмар рабочего ""Круг""";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-11-21 09:56:07";"Колпак, грим, маска новогодние";"'0.00";"'0.0";"45";"0";"0";"20";"0";"390.00";"540.00";;;;"0%"
"346757";"166403921";"395504103";"395504104";"2011898690004";"Маска Кальмар Босс";"5";"Опмир";"Готов к продаже";"Показывается";;"Показывается";;"2021-11-21 09:57:26";"Колпак, грим, маска новогодние";"'0.00";"'0.0";"0";"0";"0";"0";"0";"390.00";"490.00";;;;"0%"
"KKKz008782D7p4";"166404682";"395505219";"395505220";"2002463110188";"KVM переключатель KVM-21UA USB, входы VGA+USB(type B), выход VGA+3xUSB(type A)";"27.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-11-21 10:11:02";"Видео кабели и переходники";"'0.00";"'0.0";"0";"0";"0";"152";"0";"1047.00";"1571.00";;;;"0%"
"2381636";"166409532";"395526645";"395526644";"2013658163049";"Подарочная упаковка универсальная 85х85х35 мм";"37.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-11-21 10:52:02";"Подарочная упаковка новогодняя";"'0.00";"'0.0";"79";"0";"0";"36";"0";"357.00";"517.00";;;;"0%"
"346629";"166430141";"395554937";"395554938";"2008769918039";"Защитное стекло Full Glue для iPhone 13 Mini на полный экран, черное";"45";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-11-21 12:57:41";"Защитное стекло для смартфона";"'0.00";"'0.0";"59";"0";"0";"39";"0";"357.00";"540.00";;;;"0%"
"p83332";"166430731";"395555886";"395555887";"2008769918022";"Защитное стекло Full Glue для iPhone 13 на полный экран, черное";"22.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-11-21 12:59:53";"Защитное стекло для смартфона";"'0.00";"'0.0";"95";"0";"0";"20";"0";"438.00";"658.00";;;;"0%"
"fullglue13pro_1";"166430824";"395578649";"395578650";"2009284825000";"Защитное стекло Full Glue для iPhone 13 Pro на полный экран, черное";"22.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-11-21 13:01:22";"Защитное стекло для смартфона";"'0.00";"'0.0";"91";"0";"0";"0";"0";"190.00";"290.00";;;;"0%"
"p721112";"166430955";"395556646";"395556644";"2009285370004";"Защитное стекло Full Glue для iPhone 13 Pro Max на полный экран, черное";"22.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-11-21 13:02:55";"Защитное стекло для смартфона";"'0.00";"'0.0";"84";"0";"0";"24";"0";"438.00";"658.00";;;;"0%"
"p7257";"169750544";"400978089";"400978090";"2000649191006";"Защитное стекло Full Glue для iPhone 12 Mini на полный экран, черное";"17.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-11-25 14:13:30";"Защитное стекло для смартфона";"'0.00";"'0.0";"47";"0";"0";"27";"0";"357.00";"517.00";;;;"0%"
"p7246";"169751411";"400945380";"400945379";"2000649191013";"Защитное стекло Full Glue для iPhone 12 на полный экран, черное";"17.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-11-25 14:15:42";"Защитное стекло для смартфона";"'0.00";"'0.0";"48";"0";"0";"29";"0";"357.00";"517.00";;;;"0%"
"fullglue12pro_1";"169751763";"400947094";"400947093";"2000649191020";"Защитное стекло Full Glue для iPhone 12 Pro на полный экран, черное";"17.5";"Опмир";"Готов к продаже";"Показывается";;"Показывается";;"2021-11-25 14:17:30";"Защитное стекло для смартфона";"'0.00";"'0.0";"0";"0";"0";"0";"0";"190.00";"290.00";;;;"0%"
"p6063";"169755683";"401010868";"401010869";"2000649191037";"Защитное стекло Full Glue для iPhone 12 Pro Max на полный экран, черное";"17.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-11-25 14:20:06";"Защитное стекло для смартфона";"'0.00";"'0.0";"0";"0";"0";"2";"0";"357.00";"525.00";;;;"0%"
"p59986614";"169761341";"400971321";"400971322";"2014381021026";"Защитное стекло Full Glue для iPhone 7/8 на полный экран, черное";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-11-25 14:32:31";"Защитное стекло для смартфона";"'0.00";"'0.0";"44";"0";"0";"17";"0";"357.00";"525.00";;;;"0%"
"p59986612";"169767438";"400982346";"400982347";"2014381021019";"Защитное стекло Full Glue для iPhone 7/8 на полный экран, белое";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-11-25 14:43:26";"Защитное стекло для смартфона";"'0.00";"'0.0";"45";"0";"0";"9";"0";"357.00";"525.00";;;;"0%"
"p599866";"169770874";"400987002";"400987003";"2014381021002";"Защитное стекло Full Glue для iPhone 7/8 Plus на полный экран, белое";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-11-25 14:50:22";"Защитное стекло для смартфона";"'0.00";"'0.0";"0";"0";"0";"5";"0";"357.00";"525.00";;;;"0%"
"435354";"169771114";"401024792";"401024791";"2014382497028";"Защитное стекло Full Glue для iPhone 7/8 Plus на полный экран, черное";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-11-25 14:51:45";"Защитное стекло для смартфона";"'0.00";"'0.0";"43";"0";"0";"0";"0";"190.00";"290.00";;;;"0%"
"LP413469711";"169775525";"400996197";"400996195";"2014382497011";"Защитное стекло Full Glue для iPhone X/11 Pro на полный экран, черное";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-11-25 14:58:29";"Защитное стекло для смартфона";"'0.00";"'0.0";"0";"0";"0";"43";"0";"357.00";"525.00";;;;"0%"
"4562267133";"169776667";"401002643";"401002642";"2014382497004";"Защитное стекло Full Glue для iPhone XS Max/11 Pro Max на полный экран, черное";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-11-25 15:00:30";"Защитное стекло для смартфона";"'0.00";"'0.0";"98";"0";"0";"17";"0";"357.00";"517.00";;;;"0%"
"32562436";"169784320";"401023226";"401023225";"2014384594008";"Защитное стекло Full Glue для iPhone XR на полный экран, черное";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-11-25 15:24:28";"Защитное стекло для смартфона";"'0.00";"'0.0";"89";"0";"0";"0";"0";"190.00";"290.00";;;;"0%"
"p724001";"169789951";"401041644";"401041643";"2014385836015";"Защитное стекло для iPhone 5 / 5S / 5C / SE, прозраное";"10";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-11-25 15:45:58";"Защитное стекло для смартфона";"'0.00";"'0.0";"94";"0";"0";"8";"0";"357.00";"502.00";;;;"0%"
"p56220";"169791809";"401047285";"401047284";"2014385836008";"Искусственный газон коврик 60x40 см";"17.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-11-25 15:50:01";"Ковровая дорожка";"'0.00";"'0.0";"0";"0";"0";"20";"0";"409.00";"555.00";;;;"0%"
"p5120";"177791728";"413721292";"413721291";"2015045702008";"Переходник USB-A папа на Type-C мама";"17.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-12-05 11:26:48";"Видео кабели и переходники";"'0.00";"'0.0";"1";"0";"0";"102";"0";"357.00";"525.00";;;;"0%"
"kkk346176";"195679813";"442998744";"442998745";"2002406594013";"Кабель SATA - SATA для подключения жёстких дисков (HDD, SSD) к материнской плате";"17.5";"Нет бренда";"Продается";"Показывается";;"Показывается";;"2021-12-24 15:09:04";"Кабель/провод для подключения комплектующих ПК";"'0.00";"'0.0";"0";"0";"0";"111";"0";"397.00";"538.00";;;;"0%"
"654635";"195687972";"443139741";"443139742";"2017042917003";"Зубочистка металлическая многоразовая";"81.25";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-12-24 15:25:52";"Зубочистки пластиковые";"'0.00";"'0.0";"314";"0";"0";"36";"0";"490.00";"715.00";;;;"0%"
"kkkChip";"196597597";"444565986";"444565985";"2017127133021";"Светодиодная матрица/модуль прожектора 20Вт 220В холодный белый";"22.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-12-26 10:49:17";"Светодиодный модуль";"'0.01";"'0.0";"0";"0";"0";"85";"0";"378.00";"510.00";;;;"0%"
"kkkz000425F1p1";"196604104";"444575381";"444575380";"2017127133014";"Гнущийся гибкий держатель-прищепка для телефона, черный";"37.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-12-26 11:36:33";"Держатель для мобильного устройства";"'0.42";"'0.2";"20";"0";"1";"807";"0";"390.00";"565.00";;;;"0%"
"kkk346071";"196624467";"444601721";"444601722";"2002894277108";"Насос автомобильный/Наконечник с клапаном для насоса/Переходник для насоса ";"70";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-12-26 12:42:26";"Клапанная крышка";"'0.00";"'0.0";"0";"0";"0";"695";"0";"388.00";"525.00";;;;"0%"
"kkka014179";"196630789";"444615897";"444615898";"2015442794033";"Сетка-барьер для домашних животных, 180x75 см ";"22.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-12-26 12:53:36";"Барьер для животных";"'0.05";"'0.1";"0";"0";"0";"253";"0";"1102.00";"1653.00";;;;"0%"
"p6717";"196633489";"444617636";"444617637";"2017127133007";"PoE-инжектор Gigabit Ethernet на 2 порта";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-12-26 12:58:03";"Кабель для интернет-соединения";"'0.00";"'0.0";"83";"0";"0";"16";"0";"760.00";"1080.00";;;;"0%"
"z002816C7p2";"198228031";"447237293";"447237294";"2001373068008";"Магический Радужный шарик Антистресс Головоломка";"52.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-12-28 12:33:38";"Головоломка";"'0.00";"'0.0";"274";"0";"0";"215";"0";"555.00";"833.00";;;;"0%"
"654345";"198244566";"447282822";"447282821";"2002504740008";"Катушка для удаления пуха и ворса";"42.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-12-28 13:00:49";"Щетка для одежды";"'0.01";"'0.0";"0";"0";"0";"65";"0";"390.00";"502.00";;"238.00";"https://wildberries.ru/catalog/27458916/detail.aspx";"0%"
"z007141F5p5";"203816757";"456983799";"456983800";"2017582026005";"Адаптер-переходник VGA to HD TV";"22.5";"Опмир";"Готов к продаже";"Показывается";;"Показывается";;"2022-01-05 14:16:27";"Видео кабели и переходники";"'0.00";"'0.0";"0";"0";"0";"0";"0";"890.00";"990.00";;;;"0%"
"z009322D9p3";"203821597";"456981556";"456981557";"2017585357038";"Беспроводной Wi-Fi USB адаптер Wireless LV-UW03 802.11N, 150 Мбит/с";"27.5";"Опмир";"Готов к продаже";"Показывается";;"Показывается";;"2022-01-05 14:27:27";"Сетевой адаптер";"'0.02";"'0.0";"0";"0";"0";"0";"0";"490.00";"590.00";;;;"0%"
"z005672D1p3";"203829239";"456983693";"456983694";"2017585357021";"Кабель композитный для Xbox 360";"22.5";"Опмир";"Готов к продаже";"Показывается";;"Показывается";;"2022-01-05 14:31:41";"Видео кабели и переходники";"'0.00";"'0.0";"0";"0";"0";"0";"0";"590.00";"690.00";;;;"0%"
"p4576";"203829726";"456985342";"456985341";"2017585357014";"Кабель HDMI - DVI-D, 1.5 метра";"17.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-01-05 14:37:07";"Видео кабели и переходники";"'0.56";"'0.2";"0";"0";"0";"141";"0";"478.00";"718.00";;;;"0%"
"p4584";"203830429";"457013495";"457013496";"2017585357007";"Кабель HDMI - DVI-D, 1 метр";"17.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-01-05 14:40:19";"Видео кабели и переходники";"'0.00";"'0.0";"0";"0";"0";"49";"0";"680.00";"1020.00";;;;"0%"
"KKKz000620D1p3";"203830901";"456988722";"456988723";"2017586512030";"Переходник HDMI to VGA, 30см";"22.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-01-05 14:46:58";"Видео кабели и переходники";"'0.15";"'0.0";"0";"0";"0";"269";"0";"756.00";"1134.00";;;;"0%"
"z004225D2p3";"203831118";"456988839";"456988838";"2017586512023";"Адаптер DVI-A папа to VGA мама";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-01-05 14:50:21";"Видео кабели и переходники";"'0.00";"'0.0";"78";"0";"0";"0";"0";"290.00";"390.00";;;;"0%"
"z007026G5p2";"203831519";"456990142";"456990141";"2017586512016";"Переходник mini HDMI (папа) - HDMI (мама)";"17.5";"Опмир";"Готов к продаже";"Показывается";;"Показывается";;"2022-01-05 14:55:55";"Видео кабели и переходники";"'0.00";"'0.0";"0";"0";"0";"0";"0";"190.00";"290.00";;;;"0%"
"067657";"203836707";"456996571";"456996573";"2017586512009";"Адаптер-переходник HDMI to VGA конвертер с поддержкой HD 1080P + aux";"27.5";"Опмир";"Готов к продаже";"Показывается";;"Показывается";;"2022-01-05 15:08:40";"Видео кабели и переходники";"'0.00";"'0.0";"0";"0";"0";"0";"0";"390.00";"490.00";;;;"0%"
"4654788";"203839732";"457014256";"457014257";"2017587728003";"Набор для игр БДСМ наручники и кляп";"У товаров этой категории нет контент-рейтинга";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-01-05 15:15:13";"БДСМ набор";"'0.02";"'0.0";"0";"0";"0";"805";"0";"756.00";"1134.00";;;;"0%"
"kkkp4582";"259431292";"543275781";"543275780";"2021958584525";"Кабель HDMI 2,0 прямоугольный (лево-право) 90 градусов, 50 см";"22.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-04-03 11:16:25";"Видео кабели и переходники";"'0.00";"'0.0";"0";"0";"0";"11";"0";"478.00";"718.00";;;;"0%"
"47658652";"259431947";"543278692";"543278691";"2021958584518";"Кабель питания для комьпютера ";"22.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-04-03 11:19:17";"Кабель питания";"'0.00";"'0.0";"10";"0";"0";"0";"0";"590.00";"690.00";;;;"0%"
"4565345";"259432779";"543281094";"543281093";"2021958584501";"Краб для волос";"52.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-04-03 11:24:29";"Заколка - краб";"'0.00";"'0.0";"12";"0";"0";"0";"0";"290.00";"390.00";;;;"0%"
"87634523";"259435609";"543285292";"543285293";"2021958584495";"Билеты банка приколов 100 долларов, 1 пачка";"17.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-04-03 11:29:24";"Сувенирные деньги";"'0.00";"'0.0";"73";"0";"0";"0";"0";"290.00";"390.00";;;;"0%"
"8657456";"259453099";"543316590";"543316589";"2021958584488";"Билет банка приколов 200 евро, 1 пачка ";"17.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-04-03 11:45:17";"Сувенирные деньги";"'0.00";"'0.0";"3";"0";"0";"0";"0";"290.00";"390.00";;;;"0%"
"7546545";"259457926";"543327908";"543327907";"2021958584471";"Билет банка приколов 200 рублей, 1 пачка";"17.5";"Опмир";"Готов к продаже";"Показывается";;"Показывается";;"2022-04-03 11:47:54";"Сувенирные деньги";"'0.00";"'0.0";"0";"0";"0";"0";"0";"290.00";"390.00";;;;"0%"
"096543";"259462989";"543336033";"543336032";"2021958584464";"Билет банка приколов 500 рублей, 1 пачка ";"17.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-04-03 11:50:35";"Сувенирные деньги";"'0.00";"'0.0";"6";"0";"0";"0";"0";"290.00";"390.00";;;;"0%"
"p5431";"259472103";"543347186";"543347185";"2021958584457";"Билет банка приколов 500 евро, 1 пачка";"22.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-04-03 11:53:46";"Сувенирные деньги";"'0.00";"'0.0";"0";"0";"0";"18";"0";"438.00";"658.00";;;;"0%"
"4652432";"259483393";"543369295";"543369296";"2021958584440";"Билет банка приколов 50 долларов, 1 пачка";"17.5";"Опмир";"Готов к продаже";"Показывается";;"Показывается";;"2022-04-03 11:58:20";"Сувенирные деньги";"'0.00";"'0.0";"0";"0";"0";"0";"0";"290.00";"390.00";;;;"0%"
"p5432";"259487624";"543380848";"543380847";"2021958584433";"Билет банка приколов 100 рублей, 1 пачка";"5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-04-03 12:01:06";"Сувенирные деньги";"'0.00";"'0.0";"0";"0";"0";"20";"0";"438.00";"658.00";;;;"0%"
"02345667";"259529473";"543487344";"543487345";"2021958584426";"Медаль призовая  ""1 место""";"22.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-04-03 12:55:46";"Ленты, медали, кубки поздравительные";"'0.00";"'0.0";"16";"0";"0";"0";"0";"490.00";"590.00";;;;"0%"
"89073246";"259531747";"543494048";"543494049";"2021958584419";"Удлинитель HDMI Extender over TCP/iP 250 метров";"22.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2022-04-03 13:16:42";"Видео кабели и переходники";"'0.00";"'0.0";"1";"0";"0";"0";"0";"8990.00";"9990.00";;;;"0%"
"432008";"259535523";"543500629";"543500628";"2021958584402";"Кабель патч - корд UTP 5е категории, 30 метров ";"22.5";"Опмир";"Готов к продаже";"Показывается";;"Показывается";;"2022-04-03 13:30:23";"Видео кабели и переходники";"'0.00";"'0.0";"0";"0";"0";"0";"0";"790.00";"890.00";;;;"0%"
